Time;EMG1;EMG2;EMG3;EMG4;EMG1_F;EMG2_F;EMG3_F;EMG4_F;Note_R;Note_V;;Level 1;Joueur;Score;Notes hit;% Reussite R;Offset EMG1;Onset EMG1;% Reussite V;Offset EMG2;Onset EMG2
41;-17,1;-12,07;-17,1;-12,07;2,97;4,58;2,97;4,58;0;0;;;1;4600;45;31,14754;-16,78035;23,30707;14;-7,312454;45,94633
116;-21,35;-7,67;-21,35;-7,67;2,54;4,08;2,54;4,08;0;0;;;2;5200;50;35,2459;-16,78035;23,30707;14;-7,312454;45,94633
168;-18,27;-16,9;-18,27;-16,9;2,69;3,16;2,69;3,16;0;0;
217;-19,23;-15,74;-19,23;-15,74;3,06;3,46;3,06;3,46;0;0;
276;-22,05;-7,68;-22,05;-7,68;3,82;3,35;3,82;3,35;0;0;
338;-21,83;-10,53;-21,83;-10,53;3,98;3,3;3,98;3,3;0;0;
411;-19,08;-9,56;-19,08;-9,56;4,16;4;4,16;4;0;0;
457;-14,7;-4,19;-14,7;-4,19;3,77;4,01;3,77;4,01;0;0;
504;-13,73;-14,4;-13,73;-14,4;3,36;3,99;3,36;3,99;0;0;
562;-24,81;-1,05;-24,81;-1,05;3,18;3,78;3,18;3,78;0;0;
607;-16,15;-8,73;-16,15;-8,73;3,23;4,04;3,23;4,04;0;0;
663;-11,5;-4,22;-11,5;-4,22;3,9;3,9;3,9;3,9;0;0;
711;-13,29;-12,07;-13,29;-12,07;4,03;3,75;4,03;3,75;0;0;
779;-17,12;-11,58;-17,12;-11,58;4,33;3,3;4,33;3,3;0;0;
828;-15,12;-1,62;-15,12;-1,62;4,13;3,35;4,13;3,35;0;0;
877;-19,13;-7,03;-19,13;-7,03;3,35;3,01;3,35;3,01;0;0;
920;-15,72;-9;-15,72;-9;3,1;2,81;3,1;2,81;0;0;
985;-19,26;-13,64;-19,26;-13,64;2,79;2,97;2,79;2,97;0;0;
1031;-21,29;-1,35;-21,29;-1,35;2,37;3,27;2,37;3,27;0;0;
1085;-14,92;-14,01;-14,92;-14,01;2,19;4,06;2,19;4,06;0;0;
1132;-19,65;-5,24;-19,65;-5,24;2,19;3,61;2,19;3,61;0;0;
1193;-11,69;-11,67;-11,69;-11,67;2,71;3,83;2,71;3,83;0;0;
1239;-6,45;-3,76;-6,45;-3,76;2,96;4,3;2,96;4,3;0;0;
1287;-23,94;-9,37;-23,94;-9,37;3,48;4,13;3,48;4,13;0;0;
1333;-20,74;-10,87;-20,74;-10,87;3,87;4,3;3,87;4,3;0;0;
1394;-21,57;-2,81;-21,57;-2,81;4,38;3,8;4,38;3,8;0;0;
1442;-8,95;-12,32;-8,95;-12,32;4,33;4,33;4,33;4,33;0;0;
1495;-12,49;-4;-12,49;-4;4,49;4,24;4,49;4,24;0;0;
1545;-15,53;-2,45;-15,53;-2,45;4,09;3,75;4,09;3,75;0;0;
1607;-19,43;0,68;-19,43;0,68;3,47;3,62;3,47;3,62;0;0;
1658;-20,41;-3,27;-20,41;-3,27;3,49;3,79;3,49;3,79;0;0;
1705;-16,44;-6,82;-16,44;-6,82;4,3;3,55;4,3;3,55;0;0;
1756;-17,34;-2,75;-17,34;-2,75;4,29;3,28;4,29;3,28;0;0;
1822;-19,19;-7,54;-19,19;-7,54;4,59;3,22;4,59;3,22;0;0;
1875;-21,93;-6,67;-21,93;-6,67;4,32;2,97;4,32;2,97;0;0;
1923;-20,1;-7,06;-20,1;-7,06;4,06;3,12;4,06;3,12;0;0;
1971;-15,64;-13,06;-15,64;-13,06;3,79;2,75;3,79;2,75;0;0;
2032;-20,17;-1,84;-20,17;-1,84;3,37;2,68;3,37;2,68;0;0;
2081;-12,67;-3,16;-12,67;-3,16;3,3;2,44;3,3;2,44;0;0;
2127;-11,9;-9,56;-11,9;-9,56;3,75;2,42;3,75;2,42;0;0;
2175;-17,36;-2,76;-17,36;-2,76;3,76;2,84;3,76;2,84;0;0;
2239;-17,98;-7,67;-17,98;-7,67;4,17;2,96;4,17;2,96;0;0;
2295;-18,09;-9,53;-18,09;-9,53;3,76;3,04;3,76;3,04;0;0;
2347;-18,27;-3;-18,27;-3;3,24;3,06;3,24;3,06;0;0;
2400;-19,29;-10;-19,29;-10;3,56;3,34;3,56;3,34;0;0;
2477;-25,65;-13,26;-25,65;-13,26;4,05;3,55;4,05;3,55;0;0;
2528;-27,58;-13,78;-27,58;-13,78;4,08;3,67;4,08;3,67;0;0;
2581;-18,97;-8,39;-18,97;-8,39;4,53;3,05;4,53;3,05;0;0;
2628;-14,54;-14,5;-14,54;-14,5;4,75;3,59;4,75;3,59;0;0;
2692;-15,58;-12,82;-15,58;-12,82;4,86;3,91;4,86;3,91;0;0;
2743;-14,8;-4,72;-14,8;-4,72;5,47;3,78;5,47;3,78;0;0;
2787;-20,4;-1,76;-20,4;-1,76;5,5;4,08;5,5;4,08;0;0;
2836;-16,58;-15,61;-16,58;-15,61;4,88;4,22;4,88;4,22;0;0;
2898;-18,65;-13,75;-18,65;-13,75;4,61;4,45;4,61;4,45;0;0;
2949;-13,03;-6,67;-13,03;-6,67;4,67;4,24;4,67;4,24;0;0;
3005;-18,79;-16,47;-18,79;-16,47;3,4;4,11;3,4;4,11;0;0;
3053;-14,53;-8,16;-14,53;-8,16;3,15;3,93;3,15;3,93;0;0;
3118;-17,07;-1,95;-17,07;-1,95;2,27;4,12;2,27;4,12;0;0;
3172;-12,14;-8,16;-12,14;-8,16;2,56;3,63;2,56;3,63;0;0;
3222;-18,16;-5,46;-18,16;-5,46;2,8;3,41;2,8;3,41;0;0;
3271;-20,48;-23,73;-20,48;-23,73;3,1;4,85;3,1;4,85;0;0;
3339;-21,5;-15,5;-21,5;-15,5;3,31;6,18;3,31;6,18;0;0;
3388;-17,27;7,53;-17,27;7,53;3,36;7,01;3,36;7,01;0;0;
3438;-15,93;2,8;-15,93;2,8;3,21;7,87;3,21;7,87;0;0;
3493;-1,4;-20,02;-1,4;-20,02;3,54;10,58;3,54;10,58;0;0;
3555;42,82;21,28;42,82;21,28;11,07;13,09;11,07;13,09;1;0;
3609;-14,12;-13,43;-14,12;-13,43;11,17;13,8;11,17;13,8;1;0;
